labeled_by,date_iso,artifact,policy,env,observed_mode,canonical_label,notes
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed4__ep000.mp4,smolvla_libero,libero_10,hover_stall_no_grasp,timeout,same stall pattern as the other seed-x ep000 rollouts; hovers over the can until cap; basket empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed0__ep004.mp4,smolvla_libero,libero_10,hover_stall_no_grasp,timeout,no delivery; both cans end on the table beside the basket (terminal basket zoom clean); final ~250 steps hovering at the cans without grasp
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed1__ep003.mp4,smolvla_libero,libero_10,partial_1of2_then_stall,timeout,tomato-sauce can lifted and released at/into the basket (~step 130-170; can visible at basket by frame 170) then moves to the soup can and hover-stalls over it to cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed2__ep004.mp4,smolvla_libero,libero_10,partial_1of2_then_stall,timeout,one can inside the basket at terminal zoom; soup can still on table with gripper pressed low beside the basket rim at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed3__ep002.mp4,smolvla_libero,libero_10,partial_1of2_then_stall,timeout,tomato-sauce can in basket at terminal zoom; remainder of episode (~300 steps) hover-stalled over the soup can
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed4__ep002.mp4,smolvla_libero,libero_10,transport_drop_short,premature_release,first can moved across the table but ends beside the basket outside it (terminal zoom); policy then hover-stalls over the second can; drop-short vs never-carried not fully resolvable from agentview
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed0__ep005.mp4,smolvla_libero,libero_10,partial_1of2_then_stall,timeout,can delivered inside the basket (terminal zoom); then hover-stall over the soup can to cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed1__ep004.mp4,smolvla_libero,libero_10,partial_1of2_then_stall,timeout,striped can carried to the basket (~step 236) and rests at the liner's rim corner partially in; gripper thereafter hovers over the remaining can to cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed0__ep001.mp4,smolvla_libero,libero_10_t4,hover_stall_no_grasp,timeout,gripper engages the white mug early then stays adjacent/pawing without ever lifting it; all three mugs on table and both plates empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed1__ep001.mp4,smolvla_libero,libero_10_t4,hover_stall_no_grasp,timeout,same init and near-identical no-lift paw-stall at the white mug; plates empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed2__ep000.mp4,smolvla_libero,libero_10_t4,slip_lost_object,gripper_slip,white mug lifted then lost from view during transport (slip); yellow&white mug later placed on the LEFT plate (white mug's slot); final ~300 steps hovering at the red distractor mug
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed3__ep000.mp4,smolvla_libero,libero_10_t4,wrong_destination_place,premature_release,yellow&white mug deposited on the LEFT plate (belongs on the right); white mug back on the table right; gripper fiddling at the red distractor mug at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed4__ep001.mp4,smolvla_libero,libero_10_t4,hover_stall_no_grasp,timeout,paws behind the white mug without lifting for the whole episode; plates empty; mugs on table at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed0__ep002.mp4,smolvla_libero,libero_10_t4,slip_lost_object,gripper_slip,white mug held tilted by the rim (frames 50-95) and falls out of the gripper by ~step 110 out of the visible workspace (likely off the table edge); remainder hovering over the red distractor mug; plates empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed1__ep002.mp4,smolvla_libero,libero_10_t4,slip_lost_object,gripper_slip,same init as seed0 ep002 and same outcome; white mug lost mid-transport; red-mug hover to cap; plates empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed2__ep001.mp4,smolvla_libero,libero_10_t4,hover_stall_no_grasp,timeout,pushes/paws the white mug (displaced toward the right plate) but never lifts it; plates empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed3__ep001.mp4,smolvla_libero,libero_10_t4,holds_at_cap,timeout,white mug grasped and carried but then held hovering over the RIGHT plate (wrong plate for it) for hundreds of steps without ever releasing; still in gripper at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed4__ep002.mp4,smolvla_libero,libero_10_t4,slip_lost_object,gripper_slip,white mug picked then lost from view during transport; then red-distractor hover to cap; plates empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed0__ep004.mp4,smolvla_libero,libero_10_t4,wrong_destination_place,premature_release,white mug ends at/near the left plate then the yellow&white mug is ALSO deposited on the left plate; right plate stays empty; final ~250 steps hovering over the red distractor mug
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t4__seed1__ep004.mp4,smolvla_libero,libero_10_t4,wrong_destination_place,premature_release,yellow&white mug sits ON the left plate at cap (wrong plate); white mug no longer visible (occluded or displaced); gripper at the red distractor mug at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed0__ep002.mp4,smolvla_libero,libero_10_t6,pudding_paw_stall,timeout,brief engagement at the white mug without lifting then wedges low at the chocolate-pudding box and presses/paws there to cap; plate empty; no subtask completed
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed1__ep002.mp4,smolvla_libero,libero_10_t6,pudding_paw_stall,timeout,same init and near-identical low wedge at the pudding box to cap; plate empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed2__ep002.mp4,smolvla_libero,libero_10_t6,pudding_paw_stall,timeout,same pattern; arm pressed low at the pudding area for the final ~300 steps; plate empty; mug on table
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed3__ep000.mp4,smolvla_libero,libero_10_t6,partial_1of2_then_stall,timeout,white mug placed ON the plate (~step 140); then the gripper moves to the pudding box and paws/presses at it for ~380 steps without a successful pick; pudding never placed right-of-plate
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed4__ep000.mp4,smolvla_libero,libero_10_t6,partial_1of2_then_stall,timeout,mug-on-plate completed early; remainder of the episode pressing/pawing at the pudding box beside the wrist; pudding unmoved at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed0__ep005.mp4,smolvla_libero,libero_10_t6,pudding_paw_stall,timeout,mug engaged but never lifted; gripper then sits low at the pudding region to cap; plate empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed1__ep005.mp4,smolvla_libero,libero_10_t6,pudding_paw_stall,timeout,same init as seed0 ep005; same pudding-region stall; nothing placed
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed2__ep004.mp4,smolvla_libero,libero_10_t6,partial_1of2_then_stall,timeout,white mug placed on the plate (~step 140); pudding box then briefly at the fingers and fumbled around the left of the scene; never delivered right-of-plate; low fumbling at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed3__ep001.mp4,smolvla_libero,libero_10_t6,partial_1of2_then_stall,timeout,mug on plate done; then pudding-box pawing to cap without a lift
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed4__ep001.mp4,smolvla_libero,libero_10_t6,partial_1of2_then_stall,timeout,mug on plate done; gripper spends the rest of the episode at the pudding box without moving it
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed0__ep006.mp4,smolvla_libero,libero_10_t6,wrong_object_engagement,wrong_object,first engages the RED patterned distractor mug (not a task target) then stalls low near the pudding/red-mug region to cap; white mug untouched; plate empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t6__seed1__ep006.mp4,smolvla_libero,libero_10_t6,wrong_object_engagement,wrong_object,same init as seed0 ep006; engages the red distractor mug then low stall; nothing placed
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed0__ep000.mp4,smolvla_libero,libero_10_t7,basket_grab,wrong_object,after pawing near the cream-cheese box the gripper grasps the BASKET rim and lifts/tips the basket itself; basket held tilted in mid-air at cap; nothing ever placed
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed1__ep001.mp4,smolvla_libero,libero_10_t7,partial_1of2_then_stall,timeout,alphabet-soup can lifted and delivered into the basket (~step 100-140); then paws at the small cream-cheese box for the remaining ~380 steps without a grasp
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed2__ep000.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,single descend-retract at the soup can then switches to the cream-cheese box near the basket and paws at it to cap; nothing in basket
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed3__ep000.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,same init and same pattern as seed2 ep000; endless failed grasps at the small box; basket empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed4__ep000.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,same pattern; gripper low at the basket edge/cream-cheese box to cap; objects unmoved
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed0__ep003.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,brief soup-can approach abandoned; pawing at the cream-cheese box near the basket rim to cap; nothing placed
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed1__ep002.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,pawing at the cream-cheese box near the basket rim for most of the episode; basket empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed2__ep002.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,same; ends with gripper at the basket rim; cream cheese still on table; cans untouched
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed3__ep002.mp4,smolvla_libero,libero_10_t7,holds_at_cap,timeout,failed cream-cheese grasps displace and rotate the basket; the box is finally gripped and then held above the basket without ever being released; still in gripper at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed4__ep003.mp4,smolvla_libero,libero_10_t7,ambiguous,timeout,cream-cheese box disappears from the table during pawing (possibly pushed into the basket; not resolvable from agentview); soup can untouched; gripper hovers at the basket rim at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed0__ep004.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,box nudged around near the basket rim by repeated failed grasps; never lifted; cans untouched; basket empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_10_t7__seed1__ep003.mp4,smolvla_libero,libero_10_t7,cream_cheese_paw_stall,timeout,soup-can approach abandoned early; pawing at the cream-cheese box to cap; basket empty
